Inventory,Vin,Year,Make,Model,Trim,Interior Color,Exterior Color,Odometer Value,Odometer Units,Drivetrain,Transmission Type,Engine Type,Condition Report Grade,Seller Name,Facilitation Location,Pickup Location,Starts At,Ends At,Lane,Run,Event Sale Name,Seller Comments,Status
Simulcast,1FM5K7B89EGA04358,2014,Ford,Explorer,Base,Gray,White,37461,mi,FWD,Automatic,"6 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,22,,,Live
Simulcast,1FM5K8AR6GGC91581,2016,Ford,"Police Interceptor Utility",Base,Black,Black,91006,mi,AWD,Automatic,"6 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,23,,,Live
Simulcast,1FM5K8AR9HGC34485,2017,Ford,"Police Interceptor Utility",Base,Black,Black,89155,mi,AWD,Automatic,"6 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,24,,,Live
Simulcast,1FM5K7AR0DGC91923,2013,Ford,"Police Interceptor Utility",Base,Black,Black,67266,mi,FWD,Automatic,"6 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,25,,,Live
Simulcast,1FMCU0F73FUA18771,2015,Ford,Escape,S,Black,White,32262,mi,FWD,Automatic,"4 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,26,,,Live
Simulcast,1FM5K8AR9GGC91591,2016,Ford,"Police Interceptor Utility",Base,Black,Black,53752,mi,AWD,Automatic,"6 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,27,,,Live
Simulcast,1FM5K8AR8GGC91582,2016,Ford,"Police Interceptor Utility",Base,Black,Black,95108,mi,AWD,Automatic,"6 Cylinder",0.0,"City Of Boca Raton","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,28,,,Live
Simulcast,1FAHP2MK5FG121246,2015,Ford,Taurus,"Police Interceptor",Black,White,151523,mi,AWD,Automatic,"6 Cylinder",0.0,"Palm Beach County Sheriffs Office","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,29,,,Live
Simulcast,1FAHP2MK0FG170144,2015,Ford,Taurus,"Police Interceptor",Black,White,215605,mi,AWD,Automatic,"6 Cylinder",,"Palm Beach County Sheriffs Office","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,30,,,Live
Simulcast,1FAHP2MKXFG119511,2015,Ford,Taurus,"Police Interceptor",Black,White,144059,mi,AWD,Automatic,"6 Cylinder",1.0,"Palm Beach County Sheriffs Office","Manheim Fort Lauderdale","FL - Manheim Fort Lauderdale",2025-07-22T13:30:00Z,2025-07-23T03:59:59Z,97,31,,,Live
